Note: aws_wafv2_web_acl_association.this not in state for module.alb (likely count=0), defaulting to null
Note: aws_lb_listener_certificate.this not in state for module.alb (likely count=0), defaulting to null
Note: aws_lb_target_group_attachment.this not in state for module.alb (likely count=0), defaulting to null
Note: aws_lambda_permission.this not in state for module.alb (likely count=0), defaulting to null
Note: aws_vpc_security_group_egress_rule.this not in state for module.alb (likely count=0), defaulting to null
Note: aws_vpc_security_group_ingress_rule.this not in state for module.alb (likely count=0), defaulting to null
Note: aws_route53_record.this not in state for module.alb (likely count=0), defaulting to null
Note: aws_instance.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_instance.ignore_ami not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_spot_instance_request.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_ebs_volume.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_volume_attachment.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_iam_role.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_iam_instance_profile.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_security_group.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_vpc_security_group_egress_rule.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_ec2_tag.spot_instance not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_iam_role_policy_attachment.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_vpc_security_group_ingress_rule.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_eip.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_iam_role.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_iam_role_policy_attachment.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_vpc_security_group_egress_rule.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_instance.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_instance.ignore_ami not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_spot_instance_request.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_ec2_tag.spot_instance not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_volume_attachment.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_iam_instance_profile.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_security_group.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_vpc_security_group_ingress_rule.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_eip.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_ebs_volume.this not in state for module.ec2_private_app1 (likely count=0), defaulting to null
Note: aws_iam_role.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_security_group.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_vpc_security_group_egress_rule.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_eip.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_spot_instance_request.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_ebs_volume.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_volume_attachment.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_iam_role_policy_attachment.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_iam_instance_profile.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_vpc_security_group_ingress_rule.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_instance.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_instance.ignore_ami not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_ec2_tag.spot_instance not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_volume_attachment.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_vpc_security_group_egress_rule.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_eip.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_instance.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_instance.ignore_ami not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_iam_role.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_iam_role_policy_attachment.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_iam_instance_profile.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_security_group.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_vpc_security_group_ingress_rule.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_spot_instance_request.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_ec2_tag.spot_instance not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_ebs_volume.this not in state for module.ec2_private_app2 (likely count=0), defaulting to null
Note: aws_ebs_volume.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_iam_instance_profile.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_vpc_security_group_ingress_rule.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_eip.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_ec2_tag.spot_instance not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_volume_attachment.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_iam_role.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_iam_role_policy_attachment.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_security_group.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_vpc_security_group_egress_rule.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_instance.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_instance.ignore_ami not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_spot_instance_request.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_spot_instance_request.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_ec2_tag.spot_instance not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_ebs_volume.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_iam_role.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_iam_role_policy_attachment.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_security_group.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_instance.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_instance.ignore_ami not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_volume_attachment.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_iam_instance_profile.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_vpc_security_group_egress_rule.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_vpc_security_group_ingress_rule.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_eip.this not in state for module.ec2_private_app3 (likely count=0), defaulting to null
Note: aws_spot_instance_request.this not in state for module.ec2_public (likely count=0), defaulting to null
Note: aws_iam_instance_profile.this not in state for module.ec2_public (likely count=0), defaulting to null
Note: aws_vpc_security_group_ingress_rule.this not in state for module.ec2_public (likely count=0), defaulting to null
Note: aws_eip.this not in state for module.ec2_public (likely count=0), defaulting to null
Note: aws_instance.ignore_ami not in state for module.ec2_public (likely count=0), defaulting to null
Note: aws_ec2_tag.spot_instance not in state for module.ec2_public (likely count=0), defaulting to null
Note: aws_ebs_volume.this not in state for module.ec2_public (likely count=0), defaulting to null
Note: aws_volume_attachment.this not in state for module.ec2_public (likely count=0), defaulting to null
Note: aws_iam_role.this not in state for module.ec2_public (likely count=0), defaulting to null
Note: aws_iam_role_policy_attachment.this not in state for module.ec2_public (likely count=0), defaulting to null
Note: aws_security_group.this not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_ingress_with_prefix_list_ids not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.egress_with_self not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_egress_with_self not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.egress_with_prefix_list_ids not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_ingress_rules not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.ingress_with_source_security_group_id not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.ingress_with_ipv6_cidr_blocks not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_ingress_with_ipv6_cidr_blocks not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_egress_rules not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_egress_with_source_security_group_id not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.egress_with_cidr_blocks not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_egress_with_ipv6_cidr_blocks not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_egress_with_cidr_blocks not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.egress_with_ipv6_cidr_blocks not in state for module.loadbalancer_sg (likely count=0), defaulting to null
Note: aws_security_group_rule.computed_egress_with_prefix_list_ids not in state for module.loadbalancer_sg (likely count=0), defaulting to null
